absinth	apsinthiatum -ī, n.
academic-insignia	ōrnāmentum -ī, n.
achilles-tendon	tendō Achillis -ōnis, m.
adams-apple	pōmum Adami -ī, n.
adder	Vīpera berus -ī, m.
administration	administrātiō -ōnis, f.
administrativecourt	tribūnal administrātivum -ālis, n.
administrativelaw	iūs administrātivum -ris, n.
administrator2	prōcūrātor -ōris, m.
adrenalin	adrēnalīnum -ī, n.
aerialphotograph	aërophotographica imāgō -inis, f.
aerodynamic	aërodynamicus -ae, f.
aesthetics	aesthetica -ae, f.
agriculture	rēs rūstica -ei, f.
air-raid	incursiō aēronautica -ōnis, f.
air-traffic	commeātus aërius -ūs, m.
air-conditioning	īnstrūmentum aērī temperandō -ī, n.
aircraft	nāvis āeria -is, f.
airfield	statiō aëria -ōnis, f.
airing	ventilātio -ōnis, f.
airlift	subsidium aëre vectum -ī, n.
airline	societās aëronautica -ātis, f.
airliner	nāvis aëria vectōria -is, f.
airman	homō volaticus -inis, m.
airplane	aëria nāvis -is, f.
airport	aëriportus -ūs, m.
airstrip	aëriarum nāvium portūs temporatio -ōnis, f.
airway	via āeria -ae, f.
albatross	diomēdēa exulāns -ae, f.
album	album -ī, n.
alcohol	alcohol -is, n.
alcoholic-noun	homō alcoholi nimium dēditus -inis, m.
alcoholic-drink	ēbriaminum -ī, n.
alcoholism	alcoholismus -ī, m.
animal-kingdom	ūniversitas animālium -ātis, f.
anisette	anisatum -ī, n.
antelope	pygargus -ī, m.
antenna	antenna -ae, f.
antler	cornū cervīnum -ūs, n.
aorta	grandis vēna cordis -ae, f.
ape	simia -ae, f.
apogee	fastīgium orbis sīderis -ī, n.
appendix	(intestīnum) caecum -ī, n.
appointee	dēsignātus -ūs, m.
appointment	creātio -ōnis,
aperitif	pōtiō aper(i)tiva -ōnis, f.
aquatic-animals	aquatilium -ī, n.
aquiline-nose	nāsus aduncus -ī, m.
arabesque	ōrnāmentum Arabicum -ī, n.
arcade	porticus -ūs, f.
passageway	domus trānsitōria -ūs, f.
architrave	epistylium -ī, n.
archives	tabulae (v. tabellae) pūblicae -arum, f.
