abat-jour 	umbráculum lámpadis
abulia 	voluntatis deféctio
abuso 	intemperántia; immódicus usus
accidente (incidente) 	casus (stradale: viárius)
acconto 	antecessus (-us)
acculturazione 	alienae culturae indúctio
acqua di colonia 	odoramentum Coloniense
acqua gassata 	aqua gásio medicata
acqua minerale 	aqua medicata
acqua potabile 	aqua salūbri potu
acqua santa 	aqua lustralis
acribía 	exquisīta diligéntia
acrobata 	funámbulus (-i)
adamitico 	adamiānus (-a, -um)
adesivo 	táenia glutinōsa
aerodromo 	aërinávium portus
aeromezzo 	aërium vehículum
aeronauta 	aërius viator
aeronave 	aëria navis
afa 	áëris crassitudo
affettuosità 	amabílitas
affittacamere 	cubiculorum locator
africanista 	Africanarum rerum studiosus
agente bancario 	curator nummulárius
agente d'affari 	curator negotiorum
agenzia viaggi 	itínerum procuratrix (-trīcis)
agopuntura 	acupunctura
aguzzino 	cruciator (-oris)
albero di Natale 	arbor natalícia
albicocca 	malum Armeníacum
alla buona 	pingui Minervā
allegato 	adiunctum (folium)
alpenstock 	montanus báculus
alpinista 	oríbates; móntium lustrator
altruista 	aliorum studiosus
ambiente 	locus (-i); res externa; circumiacéntia (-ium)
ambiente artistico 	artíficum ámbitus
ambiente domestico 	domésticus convictus
amnesia 	memóriae amíssio
antipasto 	gustátio; promulsis (-idis)
apartheid 	segregátio nigritarum
appartamento 	diāeta
a priori 	ex antecapto iudício
asciugamani 	manutérgium
assegno 	mandatum nummárium
astronave 	navis sideralis
attaccapanni 	véstium sustentáculum
attuazione 	efféctio
autoambulanza 	árcera automatária
azienda 	domus effectória
baby-sitter 	infantária (-ae)
bagarino 	tesserarum vénditor inīquus
bailamme 	clamor ingens
ballottaggio 	suffrágium decretórium
bambù 	harūndo Índica
banca 	argentária
banconota 	charta nummária
banda armata 	globus armatorum
bandista 	symphoníacus (-i)
bar 	thermopólium (-ii)
barman 	tabernae potóriae minister
basket-ball 	follis canistrīque ludus
bazar 	variarum mércium empórium
best seller 	liber máxime divénditus
bibita 	bibítio (-onis); pótio; potus
bidet 	ovāta pelvis
biglietto 	téssera viária
binocolo 	telescópium geminātum
biscotto 	crústulum
bistecca 	caro costālis assa
bitter 	amara pótio
blitz 	incúrsio fulmínea
blue-jeans 	bracae línteae caerúleae
boccale 	úrceus (-i)
bomba 	pyróbolus; pyróbolum
bombola 	vas gasárium
borgata 	subúrbium (-ii)
borsa 	crumīna (crumēna); pera; marsúpium
borsaiolo 	sector zonárius
bottega 	taberna
brigatisti rossi 	brigatōres rubri
budino 	scriblīta Anglica
buontempone 	homo festivive
cachemire 	lanítium Casmiriense
caffè 	cafaeum; pótio cafaeária; taberna cafaeária
caffettiera 	cucumella cafaeária
calcolatrice 	machínula calculatória
camera da pranzo 	cenáculum
camping 	campus tentórius
campo profughi 	campus exceptórius
campo sportivo 	campus pedeludiárius
casinò 	aleatórium
cassata 	placenta Sícula
caucciù 	resīna elástica
caveau 	subterránea cella argentária
cavatappi 	extráculum
cedrata 	pótio cítrea
cemento 	lithocolla (-ae)
centro elettronico 	electrónica sedes
cesoie 	forficulae
check-up 	totīus córporis inspéctio
cherry 	válida pótio cerásina
ciabatta 	doméstica crépida
cioccolato 	socolāta; socolatae pótio
clacson 	sonorus autocinēti index
cliché 	chalcotýpia (-ae)
club 	consociátio; otiosum sodalícium
colf 	ministra doméstica
computer 	instrumentum computatórium
concorrenza 	aemulátio mercatória
confetto 	sácchari amýgdalum
confettura 	frúctuum liquāmen
contabile 	calculator (-oris)
convivente 	contubernalis
costume da bagno 	subligáculum balneare
cow boy 	armentárius
crampo 	contráctio (-onis)
cronista 	chronógraphus (-i)
day-hospital 	valetudinárium diurnum
dancing 	ludus saltatórius
dattilografo 	machínulae scriptóriae peritus
deltaplanista 	aërinavis velíferae gubernator
democraticità 	índoles democrática
denatalità 	prolis decrementum
denigratorio 	calumniosus
deodorante 	foetōris delumentum
dépliant turistico 	chártula periegética
depressione 	ánimi imminútio
deragliamento 	hamaxóstichi exorbitátio
dessert 	secunda mensa; prándii appendix
detonatore 	apparatus displosīvus
diktat 	imperiōsum edictum
discoteca 	taberna discothecária
disoccupato 	invīte otiosus
dolciume 	crustum; crústulum; placenta
drink 	pótio alcohólica
droga 	medicamentum stupefactīvum
drogheria 	taberna aromatária
duchessa 	ducīssa; ducis uxor
éclatant 	miríficus (-a, -um)
eclissi 	deféctio (lunae vel solis)
edelweis 	leontopódium alpinum
effervescente 	bullans; fervens
egoismo 	nímius amor sui
egoista 	sui cómmodi studiosus
elettricità 	eléctrica vis
eliografia 	solis descríptio
elioterapia 	heliotherapīa
eliporto 	aëriportus helicopterorum
emirato 	phylárchia
enfant gâté 	puer indulgéntiā depravatus
enoteca 	vinorum taberna
eroina 	heroīnum (-i)
esibizionismo 	ostentátio (-onis)
esordiente 	tiro (-ōnis)
esprit 	ingénii vigor
fabbrica 	domus fabricatória; ergastérium
faccenda 	negótium
factotum 	ómnium negotiorum curator
fans 	admiratores studiosíssimi
faraona 	gallina Numídica
farmacista 	pharmacopōla
ferrovia 	ferrívia
ferry-boat 	navis traiectória
fiammifero 	flammífera ássula
fiaschetteria 	oenopólium (-ii)
fifty-fifty 	aequíssima partítio
filantropia 	humánitas (-atis)
filmoteca 	pellicularum cinematographicarum theca
filovia 	funālis traiéctio
flirt 	amor levis
forbice 	forfex (-icis)
forchetta 	fúrcula
fornello elettrico 	fornácula eléctrica
frac 	tunícula caudata
frana 	terrae lapsus
frigorifero 	armárium frigidárium
frittata 	ovorum intrīta
full time 	munus pleni témporis
gabinetto 	latrīna (-ae); ministrorum consílium
gaffe 	áctio incauta et incállida
galantuomo 	ínteger vir
gambero 	cámmărus
gang 	praedatória manus
gangster 	gregalis latro
gas 	gásium (-ii)
